,Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,Weather,Precip. Amount (mm)
0,2013,6,11,09:00,17.8,16.0,89.0,34.0,21.0,24.1,98.66,,Rain Showers,
1,2013,6,11,10:00,17.4,15.9,91.0,34.0,20.0,24.1,98.73,,Rain Showers,
2,2013,6,11,13:00,21.0,14.7,67.0,33.0,23.0,24.1,98.76,,Mostly Cloudy,
3,2013,6,11,16:00,23.0,13.6,55.0,34.0,26.0,24.1,98.8,,Mainly Clear,
4,2013,6,11,19:00,20.8,12.6,59.0,36.0,20.0,24.1,98.9,,Mostly Cloudy,
5,2013,6,11,22:00,17.8,13.0,73.0,1.0,15.0,24.1,99.06,,Mostly Cloudy,
6,2013,6,12,01:00,16.6,13.9,84.0,36.0,8.0,24.1,99.08,,Cloudy,
7,2013,6,12,04:00,14.8,12.7,87.0,33.0,8.0,24.1,99.11,,Mainly Clear,
8,2013,6,12,07:00,18.2,13.8,75.0,31.0,3.0,24.1,99.25,,Mainly Clear,
9,2013,6,12,10:00,19.4,14.3,72.0,14.0,19.0,24.1,99.3,,Mainly Clear,
10,2013,6,12,13:00,21.2,11.4,53.0,16.0,18.0,24.1,99.17,,Mainly Clear,
11,2013,6,12,16:00,21.2,11.9,55.0,16.0,15.0,24.1,99.04,,Mainly Clear,
12,2013,6,12,22:00,17.1,8.9,58.0,7.0,5.0,24.1,98.83,,Mostly Cloudy,
13,2013,6,13,01:00,16.9,9.9,63.0,6.0,6.0,24.1,98.58,,Mostly Cloudy,
14,2013,6,13,04:00,16.1,11.1,72.0,5.0,12.0,24.1,98.22,,Cloudy,
15,2013,6,13,05:00,15.5,12.7,83.0,5.0,11.0,16.1,98.23,,Rain Showers,
16,2013,6,13,06:00,15.5,13.4,87.0,1.0,19.0,12.9,98.22,,Rain Showers,
17,2013,6,13,07:00,15.1,13.8,92.0,36.0,23.0,12.9,98.23,,Rain Showers,
18,2013,6,13,08:00,15.4,13.8,90.0,1.0,18.0,16.1,98.21,,Rain Showers,
19,2013,6,13,09:00,15.7,13.7,88.0,36.0,22.0,16.1,98.26,,Rain Showers,
20,2013,6,13,10:00,17.2,14.0,81.0,1.0,21.0,24.1,98.26,,Mostly Cloudy,
21,2013,6,13,13:00,21.9,13.4,58.0,2.0,15.0,24.1,98.4,,Mostly Cloudy,
22,2013,6,13,16:00,16.6,14.8,89.0,24.0,7.0,9.7,98.64,,Moderate Rain Showers,
23,2013,6,13,19:00,16.2,13.5,84.0,21.0,7.0,24.1,98.79,,Mostly Cloudy,
24,2013,6,13,22:00,15.2,14.1,93.0,15.0,4.0,24.1,98.9,,Mostly Cloudy,
25,2013,6,14,01:00,15.0,13.2,89.0,36.0,16.0,24.1,98.95,,Mostly Cloudy,
26,2013,6,14,04:00,15.1,13.3,89.0,35.0,23.0,24.1,99.06,,Mostly Cloudy,
27,2013,6,14,07:00,15.2,12.4,83.0,35.0,32.0,24.1,99.24,,Mostly Cloudy,
28,2013,6,14,10:00,18.2,12.9,71.0,35.0,17.0,24.1,99.4,,Mainly Clear,
29,2013,6,14,13:00,21.0,13.6,62.0,34.0,13.0,24.1,99.43,,Mainly Clear,
30,2013,6,14,16:00,22.2,12.0,52.0,35.0,24.0,24.1,99.42,,Mainly Clear,
31,2013,6,14,19:00,19.8,9.8,52.0,35.0,21.0,24.1,99.46,,Mainly Clear,
32,2013,6,14,22:00,15.9,7.5,57.0,34.0,20.0,24.1,99.54,,Mainly Clear,
33,2013,6,15,01:00,13.1,7.2,67.0,31.0,14.0,24.1,99.6,,Clear,
34,2013,6,15,04:00,10.1,5.7,74.0,29.0,5.0,24.1,99.62,,Clear,
35,2013,6,15,07:00,14.7,6.6,58.0,30.0,6.0,24.1,99.7,,Mainly Clear,
36,2013,6,15,10:00,20.8,5.3,36.0,26.0,16.0,24.1,99.72,,Mostly Cloudy,
37,2013,6,15,13:00,23.1,6.6,34.0,28.0,6.0,24.1,99.51,,Mostly Cloudy,
38,2013,6,15,16:00,25.1,10.0,38.0,24.0,28.0,24.1,99.38,,Mostly Cloudy,
39,2013,6,15,19:00,21.8,7.0,38.0,28.0,21.0,24.1,99.37,,Mostly Cloudy,
40,2013,6,15,22:00,20.0,7.5,44.0,23.0,9.0,24.1,99.31,,Mostly Cloudy,
41,2013,6,16,01:00,18.9,12.3,65.0,20.0,8.0,24.1,99.19,,Cloudy,
42,2013,6,16,04:00,19.2,14.1,72.0,23.0,16.0,24.1,98.96,,Cloudy,
43,2013,6,16,05:00,18.5,14.1,75.0,22.0,15.0,16.1,98.9,,Rain,
44,2013,6,16,06:00,17.1,15.3,89.0,17.0,10.0,12.9,98.84,,Rain,
45,2013,6,16,07:00,16.7,15.2,91.0,18.0,11.0,8.1,98.74,,"Rain,Fog",
46,2013,6,16,08:00,16.7,15.7,94.0,19.0,12.0,4.0,98.68,,"Heavy Rain,Fog",
47,2013,6,16,09:00,17.0,16.0,94.0,22.0,9.0,6.4,98.6,,"Rain,Fog",
48,2013,6,16,10:00,17.8,16.7,93.0,26.0,18.0,3.2,98.59,,"Rain,Fog",
49,2013,6,16,13:00,25.0,16.6,59.0,30.0,31.0,24.1,98.65,,Mostly Cloudy,
50,2013,6,16,16:00,25.0,16.0,57.0,28.0,28.0,24.1,98.76,,Mainly Clear,
51,2013,6,16,19:00,22.7,16.4,67.0,25.0,29.0,24.1,98.86,,Mainly Clear,
52,2013,6,16,21:00,21.1,16.4,74.0,22.0,13.0,24.1,98.87,,Thunderstorms,
53,2013,6,16,22:00,21.1,16.6,75.0,23.0,19.0,24.1,98.91,,Mostly Cloudy,
54,2013,6,17,01:00,17.2,14.3,83.0,28.0,12.0,24.1,98.92,,Clear,
55,2013,6,17,04:00,16.4,13.5,83.0,32.0,17.0,24.1,98.95,,Mainly Clear,
56,2013,6,17,07:00,18.6,13.9,74.0,24.0,8.0,24.1,99.05,,Mostly Cloudy,
57,2013,6,17,10:00,22.6,12.7,53.0,31.0,13.0,24.1,99.09,,Mostly Cloudy,
58,2013,6,17,13:00,24.0,12.5,48.0,29.0,20.0,24.1,99.17,,Mostly Cloudy,
59,2013,6,17,16:00,22.6,14.8,61.0,35.0,15.0,24.1,99.2,,Mostly Cloudy,
60,2013,6,17,19:00,19.6,12.2,62.0,36.0,17.0,24.1,99.2,,Mostly Cloudy,
61,2013,6,17,22:00,16.3,10.5,68.0,35.0,17.0,24.1,99.37,,Mostly Cloudy,
62,2013,6,18,01:00,14.7,10.8,77.0,34.0,19.0,24.1,99.35,,Mostly Cloudy,
63,2013,6,18,04:00,13.5,11.6,88.0,3.0,19.0,19.3,99.4,,Cloudy,
64,2013,6,18,05:00,12.9,10.6,86.0,3.0,16.0,24.1,99.47,,Rain Showers,
65,2013,6,18,07:00,13.5,11.1,85.0,3.0,12.0,24.1,99.52,,Rain,
66,2013,6,18,10:00,18.0,8.7,54.0,3.0,21.0,24.1,99.56,,Mainly Clear,
67,2013,6,18,13:00,20.0,7.8,45.0,34.0,4.0,24.1,99.55,,Mainly Clear,
68,2013,6,18,16:00,20.5,9.9,50.0,16.0,15.0,24.1,99.5,,Mainly Clear,
69,2013,6,18,19:00,18.4,6.1,44.0,35.0,32.0,24.1,99.55,,Mainly Clear,
70,2013,6,18,22:00,14.2,5.4,55.0,35.0,23.0,24.1,99.73,,Clear,
71,2013,6,19,01:00,12.3,6.6,68.0,36.0,17.0,24.1,99.79,,Mainly Clear,
72,2013,6,19,04:00,10.8,5.2,68.0,1.0,10.0,24.1,99.91,,Mainly Clear,
73,2013,6,19,07:00,13.3,6.0,61.0,2.0,7.0,24.1,100.11,,Mainly Clear,
74,2013,6,19,10:00,17.4,4.1,41.0,4.0,8.0,24.1,100.14,,Mainly Clear,
75,2013,6,19,13:00,18.3,6.3,45.0,16.0,16.0,24.1,100.09,,Mainly Clear,
