Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,Weather,DateTime,dtHours,sinTime,sinDay,year,Blowing Snow,Clear,Cloudy,Drizzle,Fog,Freezing Drizzle,Freezing Fog,Freezing Rain,Haze,Heavy Rain,Heavy Rain Showers,Heavy Snow,Ice Pellets,Mainly Clear,Moderate Hail,Moderate Rain,Moderate Rain Showers,Moderate Snow,Mostly Cloudy,Rain,Rain Showers,Smoke,Snow,Snow Grains,Snow Pellets,Snow Showers,Thunderstorms
2013,10,29,01:00,-1.5,-5.2,76.0,1.0,11.0,24.1,100.96,-5.0,Mainly Clear,2013-10-29 01:00:00,0.0,0.25881904510252074,-0.8840675099433637,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,10,29,04:00,-2.2,-5.9,76.0,36.0,10.0,24.1,100.98,-6.0,Mainly Clear,2013-10-29 04:00:00,3.0,0.8660254037844386,-0.8840675099433637,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,10,29,07:00,-2.7,-5.5,81.0,36.0,9.0,24.1,101.06,-6.0,Mainly Clear,2013-10-29 07:00:00,3.0,0.9659258262890683,-0.8840675099433637,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,3,04:00,-1.4,-5.1,76.0,35.0,14.0,24.1,100.13,-6.0,Mostly Cloudy,2013-11-03 04:00:00,117.0,0.8660254037844386,-0.8406184056344783,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,11,3,07:00,-2.3,-6.9,71.0,36.0,13.0,24.1,100.48,-7.0,Mainly Clear,2013-11-03 07:00:00,3.0,0.9659258262890683,-0.8406184056344783,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,3,22:00,-0.9,-7.3,62.0,31.0,5.0,24.1,101.27,-3.0,Clear,2013-11-03 22:00:00,15.0,-0.5000000000000004,-0.8406184056344783,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,4,01:00,-2.3,-7.1,70.0,27.0,4.0,24.1,101.34,-4.0,Clear,2013-11-04 01:00:00,3.0,0.25881904510252074,-0.8311706263658079,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,4,04:00,-3.8,-7.4,76.0,36.0,5.0,24.1,101.44,-6.0,Mainly Clear,2013-11-04 04:00:00,3.0,0.8660254037844386,-0.8311706263658079,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,4,07:00,-1.9,-6.7,70.0,2.0,5.0,24.1,101.55,-4.0,Mostly Cloudy,2013-11-04 07:00:00,3.0,0.9659258262890683,-0.8311706263658079,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,11,11,22:00,-1.0,-7.0,64.0,32.0,30.0,24.1,99.87,-8.0,Cloudy,2013-11-11 22:00:00,183.0,-0.5000000000000004,-0.7583058084785625,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,11,12,01:00,-3.3,-5.9,82.0,34.0,16.0,24.1,100.09,-9.0,Mostly Cloudy,2013-11-12 01:00:00,3.0,0.25881904510252074,-0.7469720876965551,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
