Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,dtHours,sinTime,sinDay,year,Snow,Clear,Cloudy,Hail,Drizzle,Fog,Rain,Haze,Thunder
-1.5,-5.2,76.0,1.0,11.0,24.1,100.96,-5.0,0.0,0.2588190451025207,-0.8840675099433637,2013,0,1,0,0,0,0,0,0,0
-2.2,-5.9,76.0,36.0,10.0,24.1,100.98,-6.0,3.0,0.8660254037844386,-0.8840675099433637,2013,0,1,0,0,0,0,0,0,0
-2.7,-5.5,81.0,36.0,9.0,24.1,101.06,-6.0,3.0,0.9659258262890684,-0.8840675099433637,2013,0,1,0,0,0,0,0,0,0
-1.4,-5.1,76.0,35.0,14.0,24.1,100.13,-6.0,117.0,0.8660254037844386,-0.8406184056344783,2013,0,0,1,0,0,0,0,0,0
-2.3,-6.9,71.0,36.0,13.0,24.1,100.48,-7.0,3.0,0.9659258262890684,-0.8406184056344783,2013,0,1,0,0,0,0,0,0,0
-0.9,-7.3,62.0,31.0,5.0,24.1,101.27,-3.0,15.0,-0.5000000000000004,-0.8406184056344783,2013,0,1,0,0,0,0,0,0,0
-2.3,-7.1,70.0,27.0,4.0,24.1,101.34,-4.0,3.0,0.2588190451025207,-0.8311706263658079,2013,0,1,0,0,0,0,0,0,0
-3.8,-7.4,76.0,36.0,5.0,24.1,101.44,-6.0,3.0,0.8660254037844386,-0.8311706263658079,2013,0,1,0,0,0,0,0,0,0
-1.9,-6.7,70.0,2.0,5.0,24.1,101.55,-4.0,3.0,0.9659258262890684,-0.8311706263658079,2013,0,0,1,0,0,0,0,0,0
-1.0,-7.0,64.0,32.0,30.0,24.1,99.87,-8.0,183.0,-0.5000000000000004,-0.7583058084785625,2013,0,0,1,0,0,0,0,0,0
-3.3,-5.9,82.0,34.0,16.0,24.1,100.09,-9.0,3.0,0.2588190451025207,-0.7469720876965551,2013,0,0,1,0,0,0,0,0,0
-4.4,-7.5,79.0,33.0,13.0,24.1,100.28,-9.0,3.0,0.8660254037844386,-0.7469720876965551,2013,0,1,0,0,0,0,0,0,0
-4.4,-6.9,83.0,33.0,17.0,24.1,100.52,-10.0,3.0,0.9659258262890684,-0.7469720876965551,2013,0,1,0,0,0,0,0,0,0
-0.1,-7.4,58.0,31.0,33.0,24.1,100.65,-7.0,3.0,0.4999999999999999,-0.7469720876965551,2013,0,1,0,0,0,0,0,0,0
-0.9,-11.4,45.0,30.0,29.0,24.1,100.69,-8.0,6.0,-0.8660254037844385,-0.7469720876965551,2013,0,0,1,0,0,0,0,0,0
-3.1,-9.6,61.0,29.0,20.0,24.1,100.77,-9.0,3.0,-0.9659258262890684,-0.7469720876965551,2013,0,1,0,0,0,0,0,0,0
-4.2,-10.2,63.0,28.0,14.0,24.1,100.86,-9.0,3.0,-0.5000000000000004,-0.7469720876965551,2013,0,0,1,0,0,0,0,0,0
-5.9,-10.5,70.0,32.0,10.0,24.1,100.9,-10.0,3.0,0.2588190451025207,-0.7354170229639858,2013,0,1,0,0,0,0,0,0,0
-4.7,-9.2,71.0,32.0,5.0,24.1,100.87,-7.0,3.0,0.8660254037844386,-0.7354170229639858,2013,0,0,1,0,0,0,0,0,0
-4.1,-8.4,72.0,19.0,9.0,24.1,100.82,-8.0,2.0,1.0,-0.7354170229639858,2013,1,0,0,0,0,0,0,0,0
-3.3,-6.4,79.0,24.0,17.0,24.1,100.84,-9.0,1.0,0.9659258262890684,-0.7354170229639858,2013,1,0,0,0,0,0,0,0,0
0.0,-7.1,59.0,25.0,23.0,24.1,99.73,-6.0,24.0,0.9659258262890684,-0.7236440382959124,2013,0,1,0,0,0,0,0,0,0
-1.3,-6.1,70.0,35.0,17.0,24.1,100.82,-6.0,132.0,-0.9659258262890684,-0.661634618242279,2013,0,1,0,0,0,0,0,0,0
-2.5,-6.0,77.0,4.0,6.0,24.1,100.97,-5.0,3.0,-0.5000000000000004,-0.661634618242279,2013,0,1,0,0,0,0,0,0,0
-3.0,-7.4,72.0,7.0,8.0,24.1,101.07,-6.0,3.0,0.2588190451025207,-0.6486295610349818,2013,0,1,0,0,0,0,0,0,0
-4.1,-8.4,72.0,6.0,10.0,24.1,101.17,-8.0,3.0,0.8660254037844386,-0.6486295610349818,2013,0,1,0,0,0,0,0,0,0
-5.3,-8.1,81.0,2.0,11.0,24.1,101.34,-10.0,3.0,0.9659258262890684,-0.6486295610349818,2013,0,1,0,0,0,0,0,0,0
-0.1,-4.4,73.0,33.0,26.0,24.1,100.17,-6.0,63.0,-0.5000000000000004,-0.622046748440868,2013,0,0,1,0,0,0,0,0,0
-0.1,-5.1,69.0,32.0,17.0,24.1,100.22,-5.0,3.0,0.2588190451025207,-0.6084768701151264,2013,0,0,1,0,0,0,0,0,0
-1.3,-5.7,72.0,26.0,5.0,24.1,100.11,-3.0,3.0,0.8660254037844386,-0.6084768701151264,2013,0,0,1,0,0,0,0,0,0
-1.6,-6.2,71.0,24.0,20.0,24.1,99.9,-7.0,3.0,0.9659258262890684,-0.6084768701151264,2013,0,1,0,0,0,0,0,0,0
-0.8,-3.2,84.0,28.0,43.0,1.6,99.72,-9.0,3.0,0.4999999999999999,-0.6084768701151264,2013,1,0,0,0,0,0,0,0,0
-0.7,-6.5,65.0,33.0,36.0,16.1,99.73,-8.0,3.0,-0.2588190451025208,-0.6084768701151264,2013,1,0,0,0,0,0,0,0,0
-4.2,-9.6,66.0,31.0,50.0,9.7,99.81,-14.0,2.0,-0.7071067811865471,-0.6084768701151264,2013,1,0,0,0,0,0,0,0,0
-4.8,-12.8,54.0,31.0,36.0,24.1,99.91,-13.0,1.0,-0.8660254037844385,-0.6084768701151264,2013,0,1,0,0,0,0,0,0,0
